,block2_scl,block3_scl,block6_scl,group
0,0.48674774975102625,0.33126325775972904,-1.2727644822556063,1
1,6.663755663838867,6.367048761839058,4.64159967468085,1
2,6.007036484396393,5.079648027102143,1.968977384179061,1
3,14.94864737673962,14.565374670631734,13.98740795327171,1
4,7.024091066969696,7.400715264043827,6.369790153257281,1
5,1.2790002316292777,1.0290766310371613,0.9874106457519586,1
6,9.684742303411236,9.426888193274683,7.756513156580085,1
7,21.309634556509376,19.758913581617968,16.991302548389907,1
0,13.237590277566982,11.991612410243908,16.088738275162477,2
1,5.283779904289067,4.913668649991988,6.644302485050369,2
2,3.542316388329984,2.367926591582588,6.6442510073677585,2
3,14.35943450166356,14.114901135194081,15.182930866779317,2
4,10.10888377831641,9.988075665144656,11.708634842249007,2
5,10.549729841832372,10.503340147668005,11.34549323947167,2
