,block2_hp,block3_hp,block6_hp,group
0,0.009660151515151514,0.009736084142394822,0.009462745098039215,1
1,0.009408040935672515,0.009449847094801223,0.00936298076923077,1
2,0.015365740740740742,0.014708333333333337,0.014300595238095237,1
3,0.018725833333333337,0.018419277108433735,0.017325087719298245,1
4,0.01071878787878788,0.010475217391304345,0.010230634920634921,1
5,0.01131763565891473,0.011255525362318839,0.011039102564102565,1
6,0.01399277108433735,0.01491016260162602,0.01387763157894737,1
7,0.012344189602446482,0.01266172839506173,0.01223153594771242,1
8,0.012165126050420168,0.012277333333333335,0.012231578947368421,1
9,0.010789495798319329,0.010656497175141244,0.01061294498381877,1
10,0.01565170068027211,0.016261879432624117,0.015270495495495494,1
0,0.00916338383838384,0.009092297979797982,0.009296382428940568,2
1,0.01674020833333333,0.01512333333333333,0.015124768518518523,2
2,0.01293690476190476,0.012154651162790698,0.012428174603174604,2
3,0.012013775510204083,0.01149003623188406,0.012195318352059923,2
4,0.010329534313725488,0.010296946564885496,0.010901679586563308,2
