,block2_hr,block3_hr,block6_hr,group
0,109.2695305698959,110.04676846637392,107.63430793092219,1
1,78.87797719738452,82.90697597246799,82.22704601929247,1
2,72.96894528810124,71.96198565806564,71.07184627299684,1
3,83.74309034824965,87.56703652473963,82.58831383401379,1
4,97.16245876053044,97.37674503534002,92.38051088882192,1
5,88.85850631510704,91.21041997594676,90.87741755402907,1
6,89.4677009577376,87.13866291353443,86.01918172019994,1
7,77.18030657475445,76.74786685725527,73.80830027461151,1
8,72.6000449366525,72.83545975703498,70.86869611801654,1
0,103.96077364365566,103.0766430484544,106.25056638655546,2
1,106.68935684031827,106.2007684846007,107.65358006631298,2
2,102.12185612413188,99.10057726777134,99.3821799859427,2
3,72.42911946007308,67.40214182755753,72.43815285419329,2
4,81.49665733825147,79.62329886848642,82.49701474875192,2
5,82.40218994082052,82.03645625827144,82.16637062968816,2
6,65.96996255601053,61.681340926732965,65.90467489533938,2
