,block2_rr,block3_rr,block6_rr,group
0,7.734749651936266,10.916037478395344,8.68071254182114,1
1,15.710919088766692,15.927296575631237,14.132848778518069,1
2,13.22922881377915,11.30460528086561,10.583343832682374,1
3,19.592156606638472,21.244452837314704,21.030494216614088,1
4,16.861571933641557,17.084568614642482,15.903456663080593,1
5,16.69469278136001,16.987727455870022,16.695037318318715,1
6,10.902276985974675,12.04904670777518,11.082634896446628,1
7,17.85028077004128,16.441444968134913,12.337087182082751,1
8,18.738820589988926,16.88214853477019,14.940487059878153,1
0,15.507883173946752,14.871440312039345,15.361507475933635,2
1,10.949268389793954,9.65542212298594,13.149003780338585,2
2,15.116757057801706,14.135464871687,15.076188595940197,2
3,17.74530271398747,16.77872749158024,17.611059745520187,2
4,14.368504238708752,13.055540444976337,13.78766988378964,2
5,12.828314392381955,9.096284167917405,13.94121454533384,2
6,16.0427807486631,8.128123306640976,9.377344336084022,2
7,14.463640016070714,14.377817082216009,16.757696127110226,2
